name,city,region,distance_km,bus_time,latitude,longitude,address,type,stars,website,coordinates_valid
Elbhus Hamburg,N/A,Niedersachsen,10.96,10m,53.4611052,10.0511024,N/A,hotel,N/A,N/A,Yes
Hotel Krupunder Park,Rellingen,Schleswig-Holstein,11.09,11m,53.6254696,9.8764792,"Altonaer Straße, 325, 25462, Rellingen",hotel,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.653755,9.9838819,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.6537234,9.9834813,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.6537412,9.9833912,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.6537146,9.9835834,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.6537176,9.983532,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.6537275,9.9837696,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.6537144,9.983635,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.6537319,9.9834318,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.6537192,9.9837103,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.6537394,9.983827,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.6536982,9.983638,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.18,11m,53.6537031,9.9837133,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.19,11m,53.6538495,9.9840638,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.19,11m,53.6537964,9.9839816,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.19,11m,53.653797,9.9833359,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.19,11m,53.6538216,9.9840251,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.19,11m,53.6538233,9.9833716,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.19,11m,53.6537741,9.9839337,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.19,11m,53.6537687,9.9833049,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.19,11m,53.6537529,9.9833499,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6539334,9.9838304,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6538473,9.9834116,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6538797,9.9840972,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6539159,9.983606,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6539108,9.9839963,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6538967,9.9840481,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6539033,9.9835533,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6538688,9.9834555,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6539341,9.9837735,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6539314,9.9837167,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6539216,9.9839424,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6539292,9.9838869,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6539254,9.9836607,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.2,11m,53.6538875,9.9835029,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.24,11m,53.587058,9.8320021,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.24,11m,53.5872606,9.8321363,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.24,11m,53.5870845,9.8320196,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.24,11m,53.5870651,9.8319715,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.24,11m,53.5870834,9.8318931,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.24,11m,53.5870726,9.8318859,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.25,11m,53.5873207,9.8318789,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.25,11m,53.5873081,9.8319328,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.26,11m,53.5872797,9.831768,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.26,11m,53.5871239,9.8316663,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.26,11m,53.5871285,9.8316466,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.26,11m,53.5873376,9.8318064,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.26,11m,53.5871935,9.8316896,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.26,11m,53.5871892,9.831708,N/A,unknown,N/A,N/A,Yes
Pampilo,N/A,Schleswig-Holstein,11.38,11m,53.5414996,10.163539,N/A,guest_house,N/A,https://gasthaus-pampilo.de/,Yes
N/A,N/A,Schleswig-Holstein,11.4,11m,53.5932508,9.8333346,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.4,11m,53.5933531,9.8334042,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.4,11m,53.5932478,9.8333872,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.4,11m,53.5932173,9.8333292,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.41,11m,53.5932609,9.8332106,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.41,11m,53.5932582,9.8332575,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.41,11m,53.5932244,9.8332047,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,11.41,11m,53.5933605,9.833274,N/A,unknown,N/A,N/A,Yes
my-bed.eu Appartements,Barsbüttel,Schleswig-Holstein,12.14,12m,53.5690718,10.1742378,"Willinghusener Landstraße, 13, 22885, Barsbüttel",guest_house,N/A,https://wohnen-mybed.eu/,Yes
Hotel Klövensteen,Schenefeld,Schleswig-Holstein,12.8,12m,53.6031489,9.8175932,"Hauptstraße, 83, 22869, Schenefeld",hotel,N/A,https://www.hotel-kloevensteen.de/,Yes
N/A,N/A,Schleswig-Holstein,13.26,13m,53.6717473,9.9691856,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.26,13m,53.6717597,9.9693256,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.28,13m,53.6719488,9.9691721,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.28,13m,53.6719429,9.9691101,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.28,13m,53.6719657,9.9693218,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.28,13m,53.6719583,9.9692553,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.31,13m,53.6721935,9.9692043,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.31,13m,53.6721696,9.9690541,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.62,13m,53.6747512,9.965456,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.63,13m,53.6748567,9.9654751,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.63,13m,53.6747747,9.9650859,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.64,13m,53.6749328,9.9651145,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.64,13m,53.6749093,9.9654846,N/A,unknown,N/A,N/A,Yes
Attika,Halstenbek,Schleswig-Holstein,13.66,13m,53.6380131,9.8424927,"Bäckerstraße, 3, 25469, Halstenbek",hotel,N/A,https://attika-hotel.de/,Yes
N/A,N/A,Schleswig-Holstein,13.92,13m,53.6784656,9.9924854,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.93,13m,53.6785381,9.9923212,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.93,13m,53.6786056,9.992406,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,13.93,13m,53.6785331,9.9925703,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.05,14m,53.4395924,9.899662,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.05,14m,53.4395514,9.8998854,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.05,14m,53.4396354,9.8996842,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.05,14m,53.439718,9.8992339,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.06,14m,53.4394836,9.8998503,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.06,14m,53.4395268,9.8996149,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.07,14m,53.4394847,9.8993976,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.07,14m,53.4395552,9.8992548,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.07,14m,53.4395147,9.8992339,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.07,14m,53.4394883,9.899595,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.07,14m,53.4395729,9.8991588,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.07,14m,53.4395211,9.8994164,N/A,unknown,N/A,N/A,Yes
Heinsens-Ellerbek Inn,Ellerbek,Schleswig-Holstein,14.14,14m,53.6575717,9.869745,"Hauptstraße, 1, 25474, Ellerbek",hotel,N/A,https://www.heinsens.de/,Yes
N/A,N/A,Niedersachsen,14.44,14m,53.4336963,9.9072582,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Niedersachsen,14.44,14m,53.4336222,9.9075359,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,14.45,14m,53.6830016,10.0061831,N/A,unknown,N/A,N/A,Yes
N/A,N/A,Schleswig-Holstein,14.45,14m,53.6830289,10.0062146,N/A,unknown,N/A,N/A,Yes
